Count of LoanID,,Sum of LoanAmount,,Average of InterestRate,,Average of DTIRatio,,Sum of Default,Average of CreditScore,
255 K,,$ 32576.9 M,,1349.28%,,50.02%,,29653,574,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Row Labels,Count of LoanID,
,,,,,,,,Divorced,85033,
Row Labels,Count of LoanID,,,Row Labels,Count of LoanID,,,Married,85302,
12,50957,,,Full-time,63656,,,Single,85012,
24,51009,,,Part-time,64161,,,,,
36,51061,,,Self-employed,63706,,,,,
48,51166,,,Unemployed,63824,,,,,
60,51154,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Row Labels,Sum of LoanAmount,Count of LoanID
,,,,Row Labels,Count of LoanID,,,0,28291568041,225694
,,,,0,225694,,,1,4285312531,29653
,,,,1,29653,,,,,
