Order_ID,Customer_Age,Customer_Type,Restaurant_Type,Cuisine_Type,Delivery_Distance_KM,Delivery_Time_Min,Order_Value_USD,Item_Count,Weather_Condition,Traffic_Level,Customer_Rating,Complaint_Flag,Refund_Flag,Revenue_USD,Profit_USD,City,Month,Quarter,Demand_Score,Churn_Risk
ORD0000001,28,Premium,Cloud Kitchen,Italian,7.13,104,192.24,9,Cloudy,Low,3.2,0,0,303.16,3.07,Singapore,2,1,0.2,37.8
ORD0000002,46,New,Cafe,Italian,15.64,106,276.43,6,Sunny,Low,4.8,0,0,235.82,7.39,New York,10,4,80.29,2.69
ORD0000003,37,New,Cafe,Mexican,11.79,56,251.85,9,Rainy,Low,1.6,0,0,154.95,123.02,Mumbai,2,1,96.24,99.13
ORD0000004,52,Premium,Fast Food,Italian,18.36,17,285.04,13,Sunny,Low,1.5,0,0,390.53,195.53,London,8,3,17.33,72.26
ORD0000005,40,New,Cloud Kitchen,Mexican,20.33,83,36.21,10,Rainy,Low,3.4,1,0,364.35,182.59,Singapore,1,1,54.96,79.71
ORD0000006,63,Returning,Cloud Kitchen,Chinese,23.34,85,175.42,9,Cloudy,Low,3.6,0,0,447.39,162.38,Sydney,9,3,81.79,76.37
ORD0000007,66,Returning,Cafe,Chinese,19.56,20,106.1,14,Rainy,High,4.9,0,0,277.07,0.54,Sydney,2,1,28.21,19.93
ORD0000008,59,New,Cafe,Italian,15.67,69,51.81,6,Cloudy,Medium,3.2,0,0,15.83,173.73,Sydney,9,3,72.48,99.14
ORD0000009,49,Returning,Fast Food,Chinese,14.93,43,130.59,7,Rainy,High,3.2,0,0,287.76,66.75,New York,11,4,86.44,35.17
ORD0000010,70,New,Cafe,Italian,7.81,59,109.89,7,Cloudy,Low,1.8,0,0,17.77,149.91,London,4,2,0.8,61.64
ORD0000011,32,Returning,Cloud Kitchen,Indian,21.46,38,260.78,5,Stormy,High,3,0,0,18.63,-12,Sydney,7,3,95.06,94.67
ORD0000012,47,Premium,Cloud Kitchen,Italian,22.46,67,9.37,7,Cloudy,Low,2.7,0,0,154.2,96.47,London,10,4,29.69,72.83
